"Name"	"LastWriteTime"	"Length"	"SHA256"	"Status"	"Title"	"Preview"
"ADR-001 Depth over Speed.md"	"3/20/2026 9:33:40 PM"	"1466"	"E170566A0470D3B32D7A2A2D7D081E233FAB88EA2363CEBF546946B92C38D75D"	"принято"	"ADR-001: Depth over Speed"	"RTX 3090 (24 ГБ VRAM) + 62 ГБ RAM. Одно GPU. Нужно выбрать приоритет: скорость генерации или глубина контекста. | Приоритет — **глубина контекста**. RAM используется как расширение VRAM (~86 ГБ суммарный пул). num_ctx по"
"ADR-001 Planner qwen3_30b вместо qwen3.5_35b.md"	"3/27/2026 4:43:06 PM"	"2502"	"374B27BA44A577960A0DC6A14941A61FAA2F0F525533BBC2731E18A07D79DCA5"	"принято"	"ADR-001: Planner = qwen3:30b вместо qwen3.5:35b"	"При реализации [[Этап08C]] (Orchestrator PoC) потребовалось выбрать модель для роли Planner в pipeline `plan-execute-review`. По исходному плану предполагался `qwen3.5:35b` как наиболее мощная reasoning-модель в лаборато"
"ADR-002 Continue-first.md"	"3/20/2026 9:36:09 PM"	"995"	"AAA082599ED0C49A25426E5A68860A832BDC4110C62C43AC99E29A239007A56C"	"принято"	"ADR-002: Continue.dev как единственный primary agent runtime"	"Нужен IDE agent runtime для Chat, Edit, Agent mode с tool calling. Варианты: Continue.dev, Copilot BYOK, Kilo Code. | **Continue.dev** — единственный primary runtime. Copilot BYOK — secondary, только plain chat. Причины:"
"ADR-003 STDIO транспорт для MCP.md"	"3/20/2026 9:37:35 PM"	"1338"	"167D6E76F2BF93201C51776485878FE798852480658DD0B1F698ED8BA71C0FBA"	"принято"	"ADR-003: STDIO транспорт по умолчанию для локальных MCP-серверов"	"MCP поддерживает три транспорта: STDIO, SSE, streamable-http. MCP-серверы запускаются на стороне клиента (Windows), т.к. Continue — VS Code extension. | **STDIO по умолчанию** для всех локальных инструментов. SSE/streama"
"ADR-004 transformers.js вместо Ollama embeddings.md"	"3/20/2026 9:39:16 PM"	"1208"	"C3750E318C72C501CED2FBB0AE55A4D669A4C50C563B96F250F8062B6A3ECB67"	"принято"	"ADR-004: transformers.js для embeddings (вместо Ollama)"	"Нужны embeddings для индексации кодовой базы (@Code, @Repository Map). OLLAMA_NUM_PARALLEL=1 — один запрос за раз. | **transformers.js** (all-MiniLM-L6-v2), встроенный в VS Code extension host. Нулевая нагрузка на Ollama"
"ADR-005 ChromaDB для RAG PoC.md"	"3/20/2026 9:41:35 PM"	"615"	"9B028C74E4770C881994A04303E79032A2EFAB3F92B9E1BE29AC8B79AA53265D"	"принято"	"ADR-005: ChromaDB для RAG PoC"	"Нужна vector DB для RAG-сервера (Этап 11). Варианты: ChromaDB (embedded), Qdrant (server), SQLite+faiss (manual). | **ChromaDB в embedded режиме** для PoC. SQLite backend, zero-config, Python API. | - Ограничение ~100K д"
"ADR-006 Модуляризация gateway.md"	"3/20/2026 9:43:24 PM"	"1018"	"2B04B96429E17E0B7D480D599240A0790468B69DA15D62FF4BEE398961BF9F71"	"принято"	"ADR-006: Модуляризация gateway.py при первом расширении"	"gateway.py v0.7.0 — 994 строки. При добавлении embeddings, logging, metrics, orchestrate вырастет до 2000+. | При первом расширении (Этап 9A/10A) разбить на Python-пакет `~/llm-gateway/gateway/`. Модули в одном процессе "
"ADR-007 Terminal Policy rules-based vs MCP server.md"	"3/27/2026 1:17:29 PM"	"2491"	"5A220EA34740D71F864DC02EAFE3F328732A0FB71395BFE75B551F7E668208BE"	"принято"	"ADR-007: Terminal Policy — rules-based vs отдельный MCP server"	"Этап 8B планировался как «Terminal MCP». Обнаружилось, что Continue Agent уже умеет выполнять команды через встроенный VS Code terminal. Стоял выбор: разворачивать отдельный Terminal MCP server (например, `mcp-server-ter"
"ADR-008_commit-msg_одноступенчатый.md"	"3/27/2026 9:22:52 PM"	"2411"	"3EC0F7CC181BABDDE41C24B3DA1210794ADA30C0669324D793890A3F9B6DE0F2"	"принято"	"ADR-xxx — commit-msg pipeline: намеренно одноступенчатый, qwen3.5:9b"	"Для генерации conventional commit message нужен pipeline в orchestrator. Вопрос: какую модель и сколько шагов использовать? | **A. execute-review: executor (qwen3-coder:30b) + reviewer (deepseek-r1:32b)** | Минус: ~40–45"
"ADR-008-gateway-modularization.md"	"4/8/2026 4:57:02 PM"	"1709"	"2E10B2EFBA3E670FDE161C69CD511F1D5A90E6A9ECD62BFCA231C0869EE98211"	"Accepted"	"ADR-008: Gateway модуляризация — пакет вместо монолита"	"gateway.py вырос до 1305 строк (v0.8.0). Добавление новых endpoint-ов (embeddings, metrics, orchestrate) усложняло навигацию и тестирование. Единый файл создавал merge conflicts при параллельной работе. | Разбить монолит"
