"Name"	"Layer"	"RAGMode"	"TargetPath"	"Reason"	"Title"
"ADR-008-gateway-modularization.md"	"canonical"	"primary"	"C:\llm\AI-Lab\Решения\canonical"	"current normalized canonical ADR"	"ADR-008: Gateway модуляризация — пакет вместо монолита"
"ADR-010-fim-bypass-gateway.md"	"canonical"	"primary"	"C:\llm\AI-Lab\Решения\canonical"	"current normalized canonical ADR"	"ADR-010: FIM Autocomplete минует Gateway"
"ADR-012-gemma4-model-routing.md"	"canonical"	"primary"	"C:\llm\AI-Lab\Решения\canonical"	"current normalized canonical ADR"	"ADR-012: Gemma 4 Model Integration — Tier-based Routing"
"ADR-013-text2sql-evaluator-separation.md"	"canonical"	"primary"	"C:\llm\AI-Lab\Решения\canonical"	"current normalized canonical ADR"	"ADR-013: Text-to-SQL Evaluator Separation + Prompt Freeze"
"ADR-014-streamable-http-mcp.md"	"canonical"	"primary"	"C:\llm\AI-Lab\Решения\canonical"	"current normalized canonical ADR"	"ADR-014: Streamable-HTTP для серверных MCP-серверов"
"ADR-015-rag-mcp-interim-auth.md"	"canonical"	"primary"	"C:\llm\AI-Lab\Решения\canonical"	"current normalized canonical ADR"	"ADR-015: RAG MCP Interim Auth — первый токен из map"
"ADR-016-sync-orchestrate-self-call.md"	"canonical"	"primary"	"C:\llm\AI-Lab\Решения\canonical"	"current normalized canonical ADR"	"ADR-016: Sync Orchestrate + Self-Call Pattern"
"ADR-016.md"	"closed"	"excluded"	"C:\llm\AI-Lab\Решения\closed"	"closed or absorbed decision"	"ADR-008 — Модуляризация gateway.py в Python-пакет"
"ADR-001 Depth over Speed.md"	"foundational"	"primary"	"C:\llm\AI-Lab\Решения\foundational"	"foundational platform decision"	"ADR-001: Depth over Speed"
"ADR-002 Continue-first.md"	"foundational"	"primary"	"C:\llm\AI-Lab\Решения\foundational"	"foundational platform decision"	"ADR-002: Continue.dev как единственный primary agent runtime"
"ADR-003 STDIO транспорт для MCP.md"	"foundational"	"primary"	"C:\llm\AI-Lab\Решения\foundational"	"foundational platform decision"	"ADR-003: STDIO транспорт по умолчанию для локальных MCP-серверов"
"ADR-005 ChromaDB для RAG PoC.md"	"foundational"	"primary"	"C:\llm\AI-Lab\Решения\foundational"	"foundational platform decision"	"ADR-005: ChromaDB для RAG PoC"
"ADR-007 Terminal Policy rules-based vs MCP server.md"	"foundational"	"primary"	"C:\llm\AI-Lab\Решения\foundational"	"foundational platform decision"	"ADR-007: Terminal Policy — rules-based vs отдельный MCP server"
"ADR-008_commit-msg_одноступенчатый.md"	"operational"	"secondary"	"C:\llm\AI-Lab\Решения\operational"	"execution rule / operational guardrail"	"ADR-xxx — commit-msg pipeline: намеренно одноступенчатый, qwen3.5:9b"
"ADR-009_MAX_LINES_защита_diff.md"	"operational"	"secondary"	"C:\llm\AI-Lab\Решения\operational"	"execution rule / operational guardrail"	"ADR-xxx — MAX_LINES=400 как защита от переполнения num_ctx"
"ADR-009_pre-push_STRICT_fail-closed_non-TTY.md"	"operational"	"secondary"	"C:\llm\AI-Lab\Решения\operational"	"execution rule / operational guardrail"	"ADR-xxx — pre-push: STRICT_REVIEW=1 fail-closed в non-TTY окружениях"
"ADR-010_stdout_bridge_shell_orchestrator.md"	"operational"	"secondary"	"C:\llm\AI-Lab\Решения\operational"	"execution rule / operational guardrail"	"ADR-xxx — --stdout как bridge между оркестратором и shell"
"ADR-011_Venv-только_для_orchestrator.md"	"operational"	"secondary"	"C:\llm\AI-Lab\Решения\operational"	"execution rule / operational guardrail"	"ADR-xxx — Запуск orchestrator.py только через venv/bin/python"
"ADR-001 Planner qwen3_30b вместо qwen3.5_35b.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-001: Planner = qwen3:30b вместо qwen3.5:35b"
"ADR-004 transformers.js вместо Ollama embeddings.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-004: transformers.js для embeddings (вместо Ollama)"
"ADR-006 Модуляризация gateway.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-006: Модуляризация gateway.py при первом расширении"
"ADR-012 Embeddings без модуляризации.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-008 — Embeddings: additive change без модуляризации gateway.py"
"ADR-013 Allowlist embedding-моделей.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-009 — Allowlist embedding-моделей на стороне gateway"
"ADR-014 Embeddings через gateway.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-010 Embeddings через gateway, не напрямую в Ollama"
"ADR-014 streamable-http для серверных MCP.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-014 streamable-http для серверных MCP"
"ADR-015 Obsidian_ADR-015.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-015 Per-user token storage — ENV-based JSON"
"ADR-015 Трек F и этап 11A Text-to-SQL.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-011 Трек F (AI-as-Interface) и этап 11A (Text-to-SQL PoC)"
"ADR-016 Sync orchestrate self-call.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-016 Sync orchestrate self-call"
"ADR-017.md"	"subsidiary"	"secondary"	"C:\llm\AI-Lab\Решения\subsidiary"	"implementation-level decision"	"ADR-013: Text-to-SQL PoC — Evaluator separation и остановка prompt micro-tuning"
